"","Codigos","Anno","nombrePais","ratio","PIB","ENERGIA","RENOVABLE","poblacion","ren.por.habitante","ren.por.PIB"
"91","FR","2006","Francia",14.1,1853267,426925,60196.43,63229635,1.88,2.06
"92","FR","2007","Francia",14.3,1945670,426015,60920.14,63645065,1.89,1.99
"93","FR","2008","Francia",14.4,1995850,432736,62313.98,64007193,1.93,1.98
"94","FR","2009","Francia",15.1,1939017,417955,63111.21,64350226,1.94,2.06
"95","FR","2010","Francia",14.8,1998481,444089,65725.17,64658856,2.01,2.09
"96","FR","2011","Francia",16.3,2059284,417566,68063.26,64978721,2.07,2.1
"97","FR","2012","Francia",16.4,2086929,434093,71191.25,65276983,2.16,2.16
"98","FR","2013","Francia",16.8,2115256,440710,74039.28,65600350,2.23,2.22
"99","FR","2014","Francia",18.3,2139964,415325,76004.48,65889148,2.28,2.25
"100","GB","2006","Reino Unido",4.5,2135220.7,345414,15543.63,60620361,0.51,0.46
"101","GB","2007","Reino Unido",4.8,2237031.3,341941,16413.17,61073279,0.53,0.47
"102","GB","2008","Reino Unido",5.5,1964449.7,341954,18807.47,61571647,0.6,0.61
"103","GB","2009","Reino Unido",6.7,1705456,321870,21565.29,62042343,0.69,0.8
"104","GB","2010","Reino Unido",7.4,1833021.3,328957,24342.82,62510197,0.77,0.84
"105","GB","2011","Reino Unido",8.8,1876151.1,317942,27978.9,63022532,0.88,0.95
"106","GB","2012","Reino Unido",10.7,2065736.8,318082,34034.77,63495303,1.06,1.05
"107","GB","2013","Reino Unido",13.8,2048328,317127,43763.53,63905297,1.35,1.36
"108","GB","2014","Reino Unido",17.8,2260804.8,303563,54034.21,64351155,1.66,1.52
"109","GR","2006","Grecia",8.9,217861.6,52523,4674.55,11004716,0.84,1.36
"110","GR","2007","Grecia",9.3,232694.6,55190,5132.67,11036008,0.92,1.4
"111","GR","2008","Grecia",9.6,241990.4,56646,5438.02,11060937,0.97,1.43
"112","GR","2009","Grecia",11,237534.2,54713,6018.43,11094745,1.07,1.61
"113","GR","2010","Grecia",12.3,226031.4,53120,6533.76,11119289,1.16,1.83
"114","GR","2011","Grecia",13.8,207028.9,51794,7147.57,11123392,1.27,2.19
"115","GR","2012","Grecia",16.4,191203.9,52017,8530.79,11086406,1.52,2.83
"116","GR","2013","Grecia",21.2,180654.3,48791,10343.69,11003615,1.86,3.63
"117","GR","2014","Grecia",21.9,177940.6,49500,10840.5,10926807,1.96,3.86
"118","HR","2006","Croacia",35.2,40197.8,15079,5307.81,4312487,2.44,8.38
"119","HR","2007","Croacia",34,43925.8,15384,5230.56,4313530,2.4,7.55
"120","HR","2008","Croacia",33.8,48129.8,16137,5454.31,4311967,2.5,7.19
