"Codigos","Anno","nombrePais","ratio","PIB","ratio.por.PIB","poblacion","ratio.por.poblacion","PIB.por.hab","ratio.PIB.por.hab"
"IT","2009","Italia",18.8,1572878.3,0.12,59000586,3.19,26660,7.05
"IT","2010","Italia",20.1,1604514.5,0.13,59190143,3.4,27110,7.41
"IT","2011","Italia",23.5,1637462.9,0.14,59364690,3.96,27580,8.52
"IT","2012","Italia",27.4,1613265,0.17,59394207,4.61,27160,10.09
"IT","2013","Italia",31.3,1604599.1,0.2,59685227,5.24,26880,11.64
"IT","2014","Italia",33.4,1620381.1,0.21,60782668,5.49,26660,12.53
"LT","2006","Lituania",4,24079.2,1.66,3289835,12.16,7320,5.46
"LT","2007","Lituania",4.7,29040.7,1.62,3249983,14.46,8940,5.26
"LT","2008","Lituania",4.9,32696.3,1.5,3212605,15.25,10180,4.81
"LT","2009","Lituania",5.9,26934.8,2.19,3183856,18.53,8460,6.97
"LT","2010","Lituania",7.4,28027.7,2.64,3141976,23.55,8920,8.3
"LT","2011","Lituania",9,31275.3,2.88,3052588,29.48,10250,8.78
"LT","2012","Lituania",10.9,33348.2,3.27,3003641,36.29,11100,9.82
"LT","2013","Lituania",13.1,35002.1,3.74,2971905,44.08,11780,11.12
"LT","2014","Lituania",13.7,36590,3.74,2943472,46.54,12430,11.02
"LU","2006","Luxemburgo",3.2,33409.3,0.96,469086,68.22,71220,0.45
"LU","2007","Luxemburgo",3.3,36766.1,0.9,476187,69.3,77210,0.43
"LU","2008","Luxemburgo",3.6,37647.4,0.96,483799,74.41,77820,0.46
"LU","2009","Luxemburgo",4.1,36268.2,1.13,493500,83.08,73490,0.56
"LU","2010","Luxemburgo",3.8,39946.6,0.95,502066,75.69,79560,0.48
"LU","2011","Luxemburgo",4.1,42856.4,0.96,511840,80.1,83730,0.49
"LU","2012","Luxemburgo",4.6,43905,1.05,524853,87.64,83650,0.55
"LU","2013","Luxemburgo",5.3,46352.6,1.14,537039,98.69,86310,0.61
"LU","2014","Luxemburgo",5.9,49272.8,1.2,549680,107.34,89640,0.66
"LV","2006","Letonia",40.4,17264.1,23.4,2227874,181.34,7750,52.13
"LV","2007","Letonia",38.6,22679.3,17.02,2208840,174.75,10270,37.59
"LV","2008","Letonia",38.7,24354.8,15.89,2191810,176.57,11110,34.83
"LV","2009","Letonia",41.9,18749.3,22.35,2162834,193.73,8670,48.33
"LV","2010","Letonia",42.1,17788.6,23.67,2120504,198.54,8390,50.18
"LV","2011","Letonia",44.7,20169,22.16,2074605,215.46,9720,45.99
"LV","2012","Letonia",44.9,22020.9,20.39,2044813,219.58,10770,41.69
"LV","2013","Letonia",48.8,22816.3,21.39,2023825,241.13,11270,43.3
"LV","2014","Letonia",51.1,23607.9,21.65,2001468,255.31,11800,43.31
"MT","2006","Malta",0,5386.1,0,404999,0,13300,0
"MT","2007","Malta",0,5757.5,0,405616,0,14190,0
"MT","2008","Malta",0,6128.7,0,407832,0,15030,0
"MT","2009","Malta",0,6138.6,0,410926,0,14940,0
"MT","2010","Malta",0,6599.5,0,414027,0,15940,0
"MT","2011","Malta",0.5,6874.9,0.73,414989,12.05,16570,0.3
"MT","2012","Malta",1.1,7208.8,1.53,417546,26.34,17260,0.64
"MT","2013","Malta",1.6,7671.3,2.09,421364,37.97,18210,0.88
"MT","2014","Malta",3.3,8092.9,4.08,425384,77.58,19020,1.74
"NL","2006","Países Bajos",6.5,579212,0.11,16334210,3.98,35460,1.83
"NL","2007","Países Bajos",6,613280,0.1,16357992,3.67,37490,1.6
"NL","2008","Países Bajos",7.5,639163,0.12,16405399,4.57,38960,1.93
"NL","2009","Países Bajos",9.1,617540,0.15,16485787,5.52,37460,2.43
"NL","2010","Países Bajos",9.6,631512,0.15,16574989,5.79,38100,2.52
"NL","2011","Países Bajos",9.8,642929,0.15,16655799,5.88,38600,2.54
"NL","2012","Países Bajos",10.4,645164,0.16,16730348,6.22,38560,2.7
"NL","2013","Países Bajos",10,652748,0.15,16779575,5.96,38900,2.57
"NL","2014","Países Bajos",10,663008,0.15,16829289,5.94,39400,2.54
"NO","2006","Noruega",100.2,275289.8,3.64,4640219,215.94,59330,16.89
"NO","2007","Noruega",98.5,293128,3.36,4681134,210.42,62620,15.73
"NO","2008","Noruega",99.6,316813.6,3.14,4737171,210.25,66880,14.89
"NO","2009","Noruega",104.7,278386.1,3.76,4799252,218.16,58010,18.05
"NO","2010","Noruega",97.9,323587.2,3.03,4858199,201.52,66610,14.7
"NO","2011","Noruega",105.5,358248.4,2.94,4920305,214.42,72810,14.49
"NO","2012","Noruega",104.4,396678,2.63,4985870,209.39,79560,13.12
"NO","2013","Noruega",106.9,393397.2,2.72,5051275,211.63,77880,13.73
"NO","2014","Noruega",109.6,375894.3,2.92,5107970,214.57,73590,14.89
"PL","2006","Polonia",3,274602.5,0.11,38157055,0.79,7200,4.17
"PL","2007","Polonia",3.5,313874,0.11,38125479,0.92,8230,4.25
"PL","2008","Polonia",4.4,366182.3,0.12,38115641,1.15,9610,4.58
"PL","2009","Polonia",5.8,317082.9,0.18,38135876,1.52,8310,6.98
"PL","2010","Polonia",6.6,361803.6,0.18,38022869,1.74,9520,6.93
"PL","2011","Polonia",8.2,380239,0.22,38062718,2.15,9990,8.21
"PL","2012","Polonia",10.7,389368.9,0.27,38063792,2.81,10230,10.46
"PL","2013","Polonia",10.7,394721.1,0.27,38062535,2.81,10370,10.32
"PL","2014","Polonia",12.4,410989.7,0.3,38017856,3.26,10810,11.47
"PT","2006","Portugal",29.3,166248.7,1.76,10511988,27.87,15820,18.52
"PT","2007","Portugal",32.3,175467.7,1.84,10532588,30.67,16660,19.39
"PT","2008","Portugal",34.1,178872.6,1.91,10553339,32.31,16950,20.12
"PT","2009","Portugal",37.6,175448.2,2.14,10563014,35.6,16610,22.64
"PT","2010","Portugal",40.7,179929.8,2.26,10573479,38.49,17020,23.91
"PT","2011","Portugal",45.9,176166.6,2.61,10572721,43.41,16660,27.55
"PT","2012","Portugal",47.6,168398,2.83,10542398,45.15,15970,29.81
"PT","2013","Portugal",49.1,170269.3,2.88,10487289,46.82,16240,30.23
"PT","2014","Portugal",52.1,173079.1,3.01,10427301,49.96,16600,31.39
"RO","2006","Rumanía",28.1,98418.6,2.86,21257016,13.22,4630,60.69
"RO","2007","Rumanía",28.1,125403.4,2.24,21130503,13.3,5930,47.39
"RO","2008","Rumanía",28.1,142396.3,1.97,20635460,13.62,6900,40.72
"RO","2009","Rumanía",30.9,120409.2,2.57,20440290,15.12,5890,52.46
"RO","2010","Rumanía",30.4,126746.4,2.4,20294683,14.98,6250,48.64
"RO","2011","Rumanía",31.1,133305.9,2.33,20199059,15.4,6600,47.12
"RO","2012","Rumanía",33.6,133511.4,2.52,20095996,16.72,6640,50.6
"RO","2013","Rumanía",37.5,144253.5,2.6,20020074,18.73,7210,52.01
"RO","2014","Rumanía",41.7,150357.5,2.77,19947311,20.91,7540,55.31
"SE","2006","Suecia",51.8,334876.5,1.55,9047752,57.25,37010,14
"SE","2007","Suecia",53.2,356434.3,1.49,9113257,58.38,39110,13.6
"SE","2008","Suecia",53.6,352317.1,1.52,9182927,58.37,38370,13.97
"SE","2009","Suecia",58.3,309678.7,1.88,9256347,62.98,33460,17.42
"SE","2010","Suecia",56,369076.6,1.52,9340682,59.95,39510,14.17
"SE","2011","Suecia",59.9,404945.5,1.48,9415570,63.62,43010,13.93
"SE","2012","Suecia",60,423340.7,1.42,9482855,63.27,44640,13.44
"SE","2013","Suecia",61.8,435752.1,1.42,9555893,64.67,45600,13.55
"SE","2014","Suecia",63.3,432691.1,1.46,9644864,65.63,44860,14.11
"SI","2006","Eslovenia",28.2,31561.2,8.94,2003358,140.76,15750,17.9
"SI","2007","Eslovenia",27.7,35152.6,7.88,2010377,137.79,17490,15.84
"SI","2008","Eslovenia",30,37951.2,7.9,2010269,149.23,18880,15.89
"SI","2009","Eslovenia",33.8,36166.2,9.35,2032362,166.31,17800,18.99
"SI","2010","Eslovenia",32.2,36252.4,8.88,2046976,157.31,17710,18.18
"SI","2011","Eslovenia",31,36896.3,8.4,2050189,151.21,18000,17.22
"SI","2012","Eslovenia",31.6,36002.5,8.78,2055496,153.73,17520,18.04
"SI","2013","Eslovenia",33.1,35917.1,9.22,2058821,160.77,17450,18.97
"SI","2014","Eslovenia",33.9,37332.4,9.08,2061085,164.48,18110,18.72
"SK","2006","Eslovaquia",16.6,45530.2,3.65,5372928,30.9,8470,19.6
"SK","2007","Eslovaquia",16.5,56241.6,2.93,5373180,30.71,10470,15.76
"SK","2008","Eslovaquia",17,66002.8,2.58,5376064,31.62,12280,13.84
"SK","2009","Eslovaquia",17.8,64023.1,2.78,5382401,33.07,11890,14.97
"SK","2010","Eslovaquia",17.8,67577.3,2.63,5390410,33.02,12540,14.19
"SK","2011","Eslovaquia",19.3,70627.2,2.73,5392446,35.79,13100,14.73
"SK","2012","Eslovaquia",20.1,72703.5,2.76,5404322,37.19,13450,14.94
"SK","2013","Eslovaquia",20.8,74169.9,2.8,5410836,38.44,13710,15.17
"SK","2014","Eslovaquia",23,75946.4,3.03,5415949,42.47,14020,16.41
